enfermidade_id,nome,descricao,gravidade,sintomas
11,Dengue,Doença viral transmitida pelo Aedes aegypti. Pode evoluir de forma leve a grave. Exige atenção aos sinais de alarme.,Leve,"Febre, dor de cabeça, dor atrás dos olhos."
12,Dengue,Doença viral transmitida pelo Aedes aegypti. Pode evoluir de forma leve a grave. Exige atenção aos sinais de alarme.,Moderada,"Manchas na pele, fadiga, dor abdominal."
13,Dengue,Doença viral transmitida pelo Aedes aegypti. Pode evoluir de forma leve a grave. Exige atenção aos sinais de alarme.,Grave,"Sangramentos, vômitos persistentes, dor intensa."
14,Dengue,Doença viral transmitida pelo Aedes aegypti. Pode evoluir de forma leve a grave. Exige atenção aos sinais de alarme.,Muito Grave,"Choque, insuficiência circulatória, confusão mental."
21,Chikungunya,Vírus transmitido por mosquito. Causa febre e dores intensas nas articulações. Pode durar semanas ou meses.,Leve,"Febre, dor nas articulações leves."
22,Chikungunya,Vírus transmitido por mosquito. Causa febre e dores intensas nas articulações. Pode durar semanas ou meses.,Moderada,"Dor intensa nas articulações, fadiga."
23,Chikungunya,Vírus transmitido por mosquito. Causa febre e dores intensas nas articulações. Pode durar semanas ou meses.,Grave,"Dificuldade de mobilidade, artrite crônica."
31,Zika,"Transmitido por mosquito, geralmente leve. Pode causar microcefalia em bebês de gestantes infectadas. Raramente grave em adultos.",Leve,Assintomático.
32,Zika,"Transmitido por mosquito, geralmente leve. Pode causar microcefalia em bebês de gestantes infectadas. Raramente grave em adultos.",Moderada,"Febre baixa, manchas vermelhas, coceira."
33,Zika,"Transmitido por mosquito, geralmente leve. Pode causar microcefalia em bebês de gestantes infectadas. Raramente grave em adultos.",Grave,"Complicações fetais, microcefalia em bebês."
41,Leptospirose,Transmitida por água contaminada com urina de ratos. Pode causar falência de órgãos. Requer tratamento rápido.,Leve,"Febre leve, dor de cabeça."
42,Leptospirose,Transmitida por água contaminada com urina de ratos. Pode causar falência de órgãos. Requer tratamento rápido.,Moderada,"Febre alta, vômitos, dores musculares."
43,Leptospirose,Transmitida por água contaminada com urina de ratos. Pode causar falência de órgãos. Requer tratamento rápido.,Grave,"Icterícia, insuficiência renal moderada."
44,Leptospirose,Transmitida por água contaminada com urina de ratos. Pode causar falência de órgãos. Requer tratamento rápido.,Muito Grave,"Falência renal e hepática, hemorragias."
51,Hepatite A,Inflamação do fígado causada por vírus. Transmissão fecal-oral. Tem boa recuperação na maioria dos casos.,Leve,"Cansaço, náuseas, febre leve."
52,Hepatite A,Inflamação do fígado causada por vírus. Transmissão fecal-oral. Tem boa recuperação na maioria dos casos.,Moderada,"Icterícia, urina escura, dor abdominal."
